Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Random oversampling (ROS),O-AdaBoost,ATTD,24,0.8319 ± 0.0331,0.7887 ± 0.0397,0.8046 ± 0.0411,0.7935 ± 0.0394,25
Random oversampling (ROS),O-AdaBoost,PBC,24,0.8393 ± 0.0350,0.7973 ± 0.0395,0.8217 ± 0.0472,0.8049 ± 0.0422,25
Random oversampling (ROS),O-AdaBoost,SN,24,0.8135 ± 0.0411,0.7670 ± 0.0504,0.7787 ± 0.0572,0.7688 ± 0.0524,25
Random oversampling (ROS),O-DT,ATTD & PBC & SN,32,0.7982 ± 0.0309,0.7637 ± 0.0301,0.8116 ± 0.0457,0.7696 ± 0.0340,25
Random oversampling (ROS),O-DT,ATTD & PBC,28,0.7988 ± 0.0301,0.7663 ± 0.0248,0.8161 ± 0.0374,0.7719 ± 0.0297,25
Random oversampling (ROS),O-DT,ATTD & SN,28,0.7614 ± 0.0401,0.7216 ± 0.0392,0.7573 ± 0.0490,0.7251 ± 0.0422,25
Random oversampling (ROS),O-DT,PBC & SN,28,0.8154 ± 0.0378,0.7759 ± 0.0383,0.8106 ± 0.0527,0.7820 ± 0.0437,25
Random oversampling (ROS),O-DT,ATTD,24,0.7780 ± 0.0455,0.7403 ± 0.0404,0.7782 ± 0.0425,0.7452 ± 0.0439,25
Random oversampling (ROS),O-DT,PBC,24,0.8209 ± 0.0347,0.7839 ± 0.0317,0.8238 ± 0.0365,0.7915 ± 0.0346,25
Random oversampling (ROS),O-DT,SN,24,0.7435 ± 0.0511,0.7203 ± 0.0450,0.7696 ± 0.0550,0.7178 ± 0.0522,25
Random oversampling (ROS),O-GB,ATTD & PBC & SN,32,0.8491 ± 0.0338,0.8145 ± 0.0456,0.8162 ± 0.0455,0.8106 ± 0.0409,25
Random oversampling (ROS),O-GB,ATTD & PBC,28,0.8387 ± 0.0335,0.7978 ± 0.0435,0.8065 ± 0.0408,0.7995 ± 0.0404,25
Random oversampling (ROS),O-GB,ATTD & SN,28,0.8381 ± 0.0374,0.7994 ± 0.0496,0.7936 ± 0.0501,0.7932 ± 0.0485,25
Random oversampling (ROS),O-GB,PBC & SN,28,0.8479 ± 0.0330,0.8097 ± 0.0415,0.8197 ± 0.0421,0.8113 ± 0.0392,25
Random oversampling (ROS),O-GB,ATTD,24,0.8208 ± 0.0388,0.7766 ± 0.0453,0.7852 ± 0.0463,0.7777 ± 0.0453,25
Random oversampling (ROS),O-GB,PBC,24,0.8374 ± 0.0344,0.7960 ± 0.0404,0.8104 ± 0.0404,0.8000 ± 0.0397,25
Random oversampling (ROS),O-GB,SN,24,0.8227 ± 0.0491,0.7817 ± 0.0591,0.7915 ± 0.0536,0.7820 ± 0.0559,25
Random oversampling (ROS),O-KNN,ATTD & PBC & SN,32,0.8559 ± 0.0338,0.8213 ± 0.0432,0.8374 ± 0.0457,0.8232 ± 0.0393,25
Random oversampling (ROS),O-KNN,ATTD & PBC,28,0.8522 ± 0.0348,0.8133 ± 0.0400,0.8386 ± 0.0454,0.8209 ± 0.0408,25
Random oversampling (ROS),O-KNN,ATTD & SN,28,0.8281 ± 0.0399,0.7866 ± 0.0518,0.7970 ± 0.0638,0.7859 ± 0.0529,25
Random oversampling (ROS),O-KNN,PBC & SN,28,0.8405 ± 0.0363,0.8017 ± 0.0471,0.8194 ± 0.0475,0.8051 ± 0.0429,25
Random oversampling (ROS),O-KNN,ATTD,24,0.8166 ± 0.0369,0.7719 ± 0.0455,0.7802 ± 0.0533,0.7714 ± 0.0471,25
Random oversampling (ROS),O-KNN,PBC,24,0.8154 ± 0.0435,0.7702 ± 0.0516,0.7932 ± 0.0571,0.7766 ± 0.0533,25
Random oversampling (ROS),O-KNN,SN,24,0.7656 ± 0.0565,0.7113 ± 0.0701,0.7280 ± 0.0786,0.7144 ± 0.0720,25
Random oversampling (ROS),O-LR,ATTD & PBC & SN,32,0.8486 ± 0.0349,0.8125 ± 0.0455,0.8323 ± 0.0384,0.8164 ± 0.0385,25
Random oversampling (ROS),O-LR,ATTD & PBC,28,0.8345 ± 0.0363,0.7946 ± 0.0411,0.8202 ± 0.0388,0.8013 ± 0.0394,25
Random oversampling (ROS),O-LR,ATTD & SN,28,0.8418 ± 0.0314,0.8014 ± 0.0369,0.8255 ± 0.0444,0.8081 ± 0.0378,25
Random oversampling (ROS),O-LR,PBC & SN,28,0.8535 ± 0.0364,0.8173 ± 0.0402,0.8414 ± 0.0425,0.8230 ± 0.0401,25
Random oversampling (ROS),O-LR,ATTD,24,0.8129 ± 0.0386,0.7698 ± 0.0412,0.8003 ± 0.0477,0.7775 ± 0.0439,25
Random oversampling (ROS),O-LR,PBC,24,0.8345 ± 0.0386,0.7936 ± 0.0424,0.8215 ± 0.0424,0.8018 ± 0.0424,25
Random oversampling (ROS),O-LR,SN,24,0.8215 ± 0.0430,0.7794 ± 0.0479,0.8021 ± 0.0553,0.7842 ± 0.0506,25
Random oversampling (ROS),O-NB,ATTD & PBC & SN,32,0.8841 ± 0.0295,0.8585 ± 0.0382,0.8477 ± 0.0441,0.8506 ± 0.0394,25
Random oversampling (ROS),O-NB,ATTD & PBC,28,0.8687 ± 0.0302,0.8390 ± 0.0402,0.8286 ± 0.0417,0.8313 ± 0.0390,25
Random oversampling (ROS),O-NB,ATTD & SN,28,0.8675 ± 0.0297,0.8399 ± 0.0392,0.8200 ± 0.0465,0.8266 ± 0.0419,25
Random oversampling (ROS),O-NB,PBC & SN,28,0.8681 ± 0.0272,0.8367 ± 0.0363,0.8301 ± 0.0437,0.8308 ± 0.0383,25
Random oversampling (ROS),O-NB,ATTD,24,0.8497 ± 0.0375,0.8155 ± 0.0499,0.8028 ± 0.0499,0.8060 ± 0.0487,25
Random oversampling (ROS),O-NB,PBC,24,0.8558 ± 0.0314,0.8213 ± 0.0428,0.8154 ± 0.0431,0.8158 ± 0.0411,25
Random oversampling (ROS),O-NB,SN,24,0.8441 ± 0.0420,0.8099 ± 0.0593,0.7907 ± 0.0535,0.7971 ± 0.0536,25
